date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:34:40	32609/32609	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Feb%202019%2008:30:56%20GMT	https://html.rometheme.pro/pets/index.html	C:/xampp/htdocs/DuAn1/petWeb/html.rometheme.pro/pets/index.html	(from )
21:34:41	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Nov%202023%2014:34:46%20GMT	https://html.rometheme.pro/robots.txt		(from )
21:34:41	4414/4414	---M-Z	200	added ('OK')	image/x-icon	date:Fri,%2015%20Feb%202019%2001:49:46%20GMT	https://html.rometheme.pro/pets/images/favicon.ico	C:/xampp/htdocs/DuAn1/petWeb/html.rometheme.pro/pets/images/favicon.ico	(from https://html.rometheme.pro/pets/index.html)
21:34:42	2005/2005	---M--	200	added ('OK')	image/png	date:Sun,%2017%20Feb%202019%2015:41:57%20GMT	https://html.rometheme.pro/pets/images/apple-touch-icon.png	C:/xampp/htdocs/DuAn1/petWeb/html.rometheme.pro/pets/images/apple-touch-icon.png	(from https://html.rometheme.pro/pets/index.html)
21:34:42	2626/2626	---M--	200	added ('OK')	image/png	date:Sun,%2017%20Feb%202019%2015:41:57%20GMT	https://html.rometheme.pro/pets/images/apple-touch-icon-72x72.png	C:/xampp/htdocs/DuAn1/petWeb/html.rometheme.pro/pets/images/apple-touch-icon-72x72.png	(from https://html.rometheme.pro/pets/index.html)
21:34:42	4177/4177	---M--	200	added ('OK')	image/png	date:Sun,%2017%20Feb%202019%2015:41:57%20GMT	https://html.rometheme.pro/pets/images/apple-touch-icon-114x114.png	C:/xampp/htdocs/DuAn1/petWeb/html.rometheme.pro/pets/images/apple-touch-icon-114x114.png	(from https://html.rometheme.pro/pets/index.html)
21:34:43	188998/188998	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Dec%202018%2003:47:12%20GMT	https://html.rometheme.pro/pets/css/vendor/bootstrap.min.css	C:/xampp/htdocs/DuAn1/petWeb/html.rometheme.pro/pets/css/vendor/bootstrap.min.css	(from https://html.rometheme.pro/pets/index.html)
21:34:43	20784/20784	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Jan%202019%2006:51:31%20GMT	https://html.rometheme.pro/pets/css/vendor/font-awesome.min.css	C:/xampp/htdocs/DuAn1/petWeb/html.rometheme.pro/pets/css/vendor/font-awesome.min.css	(from https://html.rometheme.pro/pets/index.html)
21:34:43	3630/3630	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Jan%202019%2006:51:31%20GMT	https://html.rometheme.pro/pets/css/vendor/owl.carousel.min.css	C:/xampp/htdocs/DuAn1/petWeb/html.rometheme.pro/pets/css/vendor/owl.carousel.min.css	(from https://html.rometheme.pro/pets/index.html)
21:34:43	1055/1055	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Jan%202019%2006:51:31%20GMT	https://html.rometheme.pro/pets/css/vendor/owl.theme.default.min.css	C:/xampp/htdocs/DuAn1/petWeb/html.rometheme.pro/pets/css/vendor/owl.theme.default.min.css	(from https://html.rometheme.pro/pets/index.html)
21:34:44	8163/8163	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Jan%202019%2006:51:31%20GMT	https://html.rometheme.pro/pets/css/vendor/magnific-popup.css	C:/xampp/htdocs/DuAn1/petWeb/html.rometheme.pro/pets/css/vendor/magnific-popup.css	(from https://html.rometheme.pro/pets/index.html)
21:34:44	53679/53679	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Jan%202019%2006:51:31%20GMT	https://html.rometheme.pro/pets/css/vendor/animate.min.css	C:/xampp/htdocs/DuAn1/petWeb/html.rometheme.pro/pets/css/vendor/animate.min.css	(from https://html.rometheme.pro/pets/index.html)
21:34:45	77206/77206	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Dec%202019%2008:00:42%20GMT	https://html.rometheme.pro/pets/css/style.css	C:/xampp/htdocs/DuAn1/petWeb/html.rometheme.pro/pets/css/style.css	(from https://html.rometheme.pro/pets/index.html)
